tweet, sentiment_label
b'RT @kirik: \xe3\x81\xa8\xe3\x82\x8a\xe3\x81\x82\xe3\x81\x88\xe3\x81\x9a\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x83\x95\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\xa4\xe3\x83\xbc\xe3\x81\x95\xe3\x82\x93\xe3\x81\xaf\xe3\x81\x84\xe3\x81\xa3\xe3\x81\x9f\xe3\x82\x93\xe5\x81\x9c\xe6\xad\xa2\xe3\x81\x97\xe3\x81\xa6\xe3\x82\x82\xe3\x82\x89\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8b\xe3\x82\x89\xe6\xa5\xad\xe7\x95\x8c\xe3\x82\x92\xe3\x81\x84\xe3\x82\x8d\xe3\x81\x84\xe3\x82\x8d\xe6\x95\xb4\xe7\x90\x86\xe3\x81\x99\xe3\x82\x8b\xe3\x82\x93\xe3\x82\x84\xe3\x82\x8d\xe3\x81\xaa\xe3\x81\x82\xe2\x80\xa6 \xe5\xbd\xbc\xe3\x82\x89\xe3\x81\xaa\xe3\x82\x8a\xe3\x81\xab\xe8\xa8\x80\xe3\x81\x84\xe5\x88\x86\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8b\xe3\x82\x93\xe3\x81\xa0\xe3\x82\x8d\xe3\x81\x86\xe3\x81\x91\xe3\x81\xa9\xe3\x80\x81\xe3\x81\x8a\xe5\xae\xa2\xe6\xa7\x98\xe3\x81\xab\xe5\x85\xa8\xe3\x81\x8f\xe7\xbd\xaa\xe3\x81\xaf\xe3\x81\xaa\xe3\x81\x84\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xaa\xe3\x81\x82',Negative
b'5 teor\xc3\xadas conspirativas sobre el enigm\xc3\xa1tico Satoshi Nakamoto, el \xe2\x80\xb3creador del bitc\xc3\xb3in\xe2\x80\xb3 #Criptomonedas https://t.co/TvSGNzOM0H',Negative
b'@IntThings I am selling 24 cards Nvidia GTX 1070 Ti brand new for $299 each ONLY! Selling like hot cakes! Accepting\xe2\x80\xa6 https://t.co/KCZhE1CZvN',Positive
b'@RyanAndersonAgt @tferriss @eco You\xe2\x80\x99re saying @tferriss Recommends this currency? Is it like bitcoin?',Negative
b'New Tumblr post: "Dealer used dark web, bitcoin and US Postal Service to run national drug business from Denver, fe\xe2\x80\xa6 https://t.co/llVo3R2zyF',Negative
b'@ProfElvanAktas Aaa ciddi mi abi ya ? Neden? Newyork borsas\xc4\xb1n\xc4\xb1n ana \xc5\x9firketi bir bitcoin borsas\xc4\xb1 geli\xc5\x9ftiriyor.. Bu b\xe2\x80\xa6 https://t.co/6o7ck7J9ZD',Negative
b'[TR] 10/05/2018 00:59:02 Bitcoin: \xe2\x82\xba39561 Ethereum: \xe2\x82\xba3180  #bitcoin #ethereum #altcoin #coin #blockchain #crypto\xe2\x80\xa6 https://t.co/cDBtjebAOs',Negative
b'Valores | dolar R$3.5736 | BITCOIN(MCDTBC) R$34150.00000000 | BITCOIN(BLCHAIN) R$33454.38 | LITECOIN(MCDTBC) R$593.00000000',Negative
b'RT @francispouliot_: Canada has the 2nd highest amount of Bitcoin ATMs per capita, just behind Austria.\n\nThe entire European Union has arou\xe2\x80\xa6',Negative
b'RT @rogerkver: Remember, the #LightningNetwork takes Bitcoin\xe2\x80\x99s permisionless system and replaces it with a permission-based system instead.\xe2\x80\xa6',Negative
b'[USD] 10/05/2018 00:59:02 Bitcoin: $9324.28 Ethereum: $751.736  #bitcoin #ethereum #altcoin #coin #blockchain\xe2\x80\xa6 https://t.co/nIlT4N9qGf',Negative
b'RT @JennyQTa9: That\xe2\x80\x99s 1.11M bitcoins @ $9k/ea.\xf0\x9f\x98\x81I believe Goldman wld want a stake of @ least 30% in their vault once they begin trading.\xf0\x9f\xa4\x93\xe2\x80\xa6',Negative
b'RT @realmicroguy: The owner of New York Stock Exchange has been reportedly working on a bitcoin exchange. #bitcoin https://t.co/i2K34xk1Ci',Positive
b"@CommBank Everyone should move their wealth into Bitcoin. That's the best way to fix banking corruption.",Positive
b'RT @derekcapo: Here is announcement from WEG Bank AG in German. https://t.co/lGFXu98F2N  Amazing what \xe2\x80\x9crat poison\xe2\x80\x9d is doing to the world. C\xe2\x80\xa6',Positive
b'RT @MicroSFF: "What are you doing?" the robot asked.\n"Oh, this is a religious observance. I understand it must seem strange to you."\n"No, w\xe2\x80\xa6',Negative
b'RT @coinok: The Hardware Bitcoin Wallet. Get Trezor now for only 89 EUR https://t.co/RyPUbER3cs #btc #bitcoin 19 https://t.co/YkyWCW3Ovs',Negative
b'RT @_Kevin_Pham: Silicon Valley wants to "make the world a better place."\n\nBitcoin wants to protect you from people that say shit like "I w\xe2\x80\xa6',Positive
b'RT @nic__carter: *Spends 5 seconds reading mainstream news headlines*\n\nYep they still hate bitcoin. Ok good. We\xe2\x80\x99re still early.',Positive
b'RT @Veteran4Crypto: How I spent My morning! I have some Ideas for Outdoorsman on the #Blockchain \xf0\x9f\xa4\x94\xf0\x9f\x98\x8e #crypto #cryptocurrency #Bitcoin #NEO #\xe2\x80\xa6',Negative
b'RT @cd_hooks: uh, ben shapiro is now shilling on behalf of a predatory gold company that\'s moving into cryptocurrency: "Bitcoin is the Libe\xe2\x80\xa6',Negative
b'RT @NobleStreaming: https://t.co/orsrMLsLbw \n\n#cryptocurrency \n#bitcoin \n#litecoin \n#marketing https://t.co/OuAwoiU4II',Negative
b'RT @business: The wealthy are hoarding $10 billion of Bitcoin in bunkers https://t.co/ByJG16Va1v https://t.co/OLA2Qs4udY',Positive
b"@Raeonn Mass production! Also alienware.. I'm afraid the sacrifices they made to make it this cheap for that equipm\xe2\x80\xa6 https://t.co/0Focn1LExY",Negative
b'One of many to deploy.. via /r/Bitcoin https://t.co/N2E0XB0OMx',Positive
b"@sheepchase She's probably a Starbucks millionaire in the future, the points work like Bitcoin right? (I have no id\xe2\x80\xa6 https://t.co/SkvAqXGUma",Positive
b'@CobraBitcoin Agreed on the infiltration. Anyone referring to Blockstream negatively to Bitcoin is likely infiltrat\xe2\x80\xa6 https://t.co/8IZEB7tWRO',Negative
b'$BTC $ETH $LTC $XRP $BCH $ADA $XMR Bitcoin Price experts will reach $ 25,000 by 2018, up to $ 250,000 by 2022 https://t.co/GcU7Hdr9LS',Negative
b'"WeChat has suspended a third-party blockchain app a day after launch\nhttps://t.co/GoPQE9Blad" $btc $ltc $neo $eth\xe2\x80\xa6 https://t.co/97Czyks090',Negative
b"RT @ProducToken: Meet the Productivist's Tech Team !\nJoin the Revolution 4.0 with us -&gt; https://t.co/08yjEvy6Ri  \nSOFT CAP reached in the f\xe2\x80\xa6",Positive
b'RT @rogerkver: After being brainwashed by censorship, "BTC True Believers" are boycotting @FreeTalkLive, the first national radio show that\xe2\x80\xa6',Positive
b'Earn FREE bitcoin at https://t.co/Ty8gnoiTvi! https://t.co/d5H0YItj3t #bitcoin #faucet #game #faucets #micropayments',Positive
b'WeChat has suspended a third-party blockchain app a day after launch https://t.co/NMnLOsnXKO\n\nWeChat has suspended\xe2\x80\xa6 https://t.co/T1qH1pqXgK',Negative
b'The Vaults Where Bitcoin Billionaires Hide Their Fortunes - Popular Mechanics https://t.co/miTwoaptzJ',Positive
b'See how to make DAILY PROFITS With BITCOIN \n\nFind Out More:  https://t.co/ABkddoDIgq\n\n #life',Positive
b'RT @GeekRemix: Would you guys be interested in an option to tip in litecoin/bitcoin/cryptocurrency?',Positive
b'RT @_Kevin_Pham: Silicon Valley wants to "make the world a better place."\n\nBitcoin wants to protect you from people that say shit like "I w\xe2\x80\xa6',Positive
b'RT @ThinkCoinToken: Please be warned - we are not and never will be giving away Ethereum or Bitcoin. Scammers are trying to impersonate our\xe2\x80\xa6',Negative
b'Ex-Goldman Chief Says We\xe2\x80\x99ll Have a Global Cryptocurrency, But Not\xc2\xa0Bitcoin https://t.co/28dPEU8HzY https://t.co/3bWYpKvuOQ',Negative
b'The Vaults Where Bitcoin Billionaires Hide Their Fortunes - Popular Mechanics https://t.co/kLxze46hwr',Positive
b'Ex-Goldman Chief Says We\xe2\x80\x99ll Have a Global Cryptocurrency, But Not\xc2\xa0Bitcoin https://t.co/P60L4mQDhp',Negative
b'RT @BitcoinBirthCoi: Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May ... https://t.co/K\xe2\x80\xa6',Positive
b'RT @Cointelegraph: Despite the criticism from the household names such as Warren Buffett, Charlie Munger, and Bill Gates, the crypto market\xe2\x80\xa6',Negative
b"RT @mhluongo: System designers, don't be afraid to reach for economic security when you can't achieve cryptographic security- it's what mad\xe2\x80\xa6",Negative
b'RT @coin_lion: Portfolio management. Social integration. Track and follow portfolios. And so much more! #CoinLion continues to move forward\xe2\x80\xa6',Positive
b"Ricky Williams says with astrology study, Uranus' path told him to invest in bitcoin https://t.co/EIsrGBnTEL",Negative
