tweet, sentiment_label
b'"WeChat has suspended a third-party blockchain app a day after launch\nhttps://t.co/GoPQE9Blad" $btc $ltc $neo $eth\xe2\x80\xa6 https://t.co/97Czyks090',Negative
b"RT @ProducToken: Meet the Productivist's Tech Team !\nJoin the Revolution 4.0 with us -&gt; https://t.co/08yjEvy6Ri  \nSOFT CAP reached in the f\xe2\x80\xa6",Positive
b'RT @Aurora_dao: All #IDEX markets have been re-enabled and the updated infrastructure is running smoothly. We will begin adding new tokens\xe2\x80\xa6',Positive
b'RT @ThinkCoinToken: Please be warned - we are not and never will be giving away Ethereum or Bitcoin. Scammers are trying to impersonate our\xe2\x80\xa6',Negative
b'RT @BitcoinBirthCoi: Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May ... https://t.co/K\xe2\x80\xa6',Positive
b'RT @Cointelegraph: Despite the criticism from the household names such as Warren Buffett, Charlie Munger, and Bill Gates, the crypto market\xe2\x80\xa6',Negative
b'#moneytoken #IMT #ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale https://t.co/VtOxBuHhzy',Negative
b'RT @eventum_network: \xf0\x9f\x93\x88  Weekly update from Eventum: \n- New Alpha demo events starting on May 11th \n- Soft cap exceeded by multiple times \n-\xe2\x80\xa6',Positive
b'Take a look at #Orvium Light Paper to know the most relevant aspects of this great project: https://t.co/Ekc9TCq84J\xe2\x80\xa6 https://t.co/YPsmjGJPlK',Positive
b'https://t.co/POaED0EwkG #ethereum #\xd0\xba\xd1\x80\xd0\xb0\xd1\x81\xd0\xbe\xd1\x82\xd0\xba\xd0\xb8',Negative
b'@novogratz partners with #Bloomberg to launch #cryptocurrency #Index\nCurrently listed are: \n#Ripple #xrp\n#bitcoin\xe2\x80\xa6 https://t.co/PwNeZrXqtg',Negative
b'RT @Aurora_dao: All #IDEX markets have been re-enabled and the updated infrastructure is running smoothly. We will begin adding new tokens\xe2\x80\xa6',Positive
b'RT @coinstime_com: 1. Follow @coinstime_com  ,\n2. Retweet pinned  tweet , \n3. fill out this form  https://t.co/eODibVqgnd\n4\xe2\x80\xa6 Get free 5000\xe2\x80\xa6',Positive
b'RT @AiFinTek: AIRDROP Alert -Crypto project live, Free Tokens,100$ AFTK TOKEN,50$ AFTK Friend Referral, https://t.co/Hy9MZ5jfLS #ICO #block\xe2\x80\xa6',Positive
b'RT @ethereumera: FREE 200 Ethereum Era (ETE)  tokens #Airdrop from @ethereumera .\nSign up and login  on https://t.co/Sg3EQablcr  ,then clic\xe2\x80\xa6',Positive
b'#Crypto #Blockchain  #databrokerdao #data #sensordata #localdata #ether #ethereum #bitcoin #cryptocurrency #ICO\xe2\x80\xa6 https://t.co/xVAwN8SMhb',Negative
b'RT @LoandexOfficial: Will you be prepared when the Presale starts? Join now at https://t.co/8DOjz5ySOY #DEX #Ethereum #CryptoTrader #ICO #C\xe2\x80\xa6',Negative
b'RT @owocki: EIP-1070 -- Standard Bounties / @MarkBeylin @ethBounties @fundrequest_io @bounty0x @bountyoneio @GetGitcoin @OpenBountyBot @can\xe2\x80\xa6',Negative
b"RT @ProducToken: Meet the Productivist's SEO, Benjamin Pestel !\nJoin the Revolution 4.0 with him -&gt; https://t.co/08yjEvy6Ri \nSOFT CAP reach\xe2\x80\xa6",Positive
b'#RT @Cointelegraph: Despite the criticism from the household names such as Warren Buffett, Charlie Munger, and Bill\xe2\x80\xa6 https://t.co/TdWk7TXV0e',Negative
b'RT @LoandexOfficial: Learn more about the future of Decetralized exchanges today at the LoanDex website https://t.co/8DOjz5ySOY #DEX #Ether\xe2\x80\xa6',Positive
b'RT @ethereumera: FREE 200 Ethereum Era (ETE)  tokens #Airdrop from @ethereumera .\nSign up and login  on https://t.co/Sg3EQablcr  ,then clic\xe2\x80\xa6',Positive
b'Good times ahead RT @LitecoinBoy32: The crypto market looks amazing right now. wow!\n\n#bitcoin #ltc #crytptocurrency\xe2\x80\xa6 https://t.co/epruarpIAD',Positive
b'Amazon hacked for Ethereum heist and new security laws affect UK |\xc2\xa0Avast https://t.co/mmni1nQ8Qk',Positive
b'#movie #MovieNight #bitcoin #cryptocurrency #ethereum #litecoin  https://t.co/MRpAQzWom6',Negative
b'https://t.co/yMXcGbWFcv\n#ORV #Orvium #science #peerreview #openscience #publishing #authors #research #Crypto\xe2\x80\xa6 https://t.co/69jcK8kDPM',Negative
b"@AstroCrytpoGuru @lucasgabd @Bacon_Chain That's because Bitcoin is the Sun while Ethereum behaves perhaps more like an unpredictable star",Positive
b'@piedpipercoin @Xessive72 No you got it twisted. $PPC is #Peercoin and always will be @PeercoinPPC . Maybe call you\xe2\x80\xa6 https://t.co/iVsjVAaESS',Negative
b'Binance coin a crypto with a real purpose, Sign up with one of the top crypto trading platforms out today\xe2\x80\xa6 https://t.co/m5lH5M5ZkQ',Positive
b'RT @ethereumera: FREE 200 Ethereum Era (ETE)  tokens #Airdrop from @ethereumera .\nSign up and login  on https://t.co/Sg3EQablcr  ,then clic\xe2\x80\xa6',Positive
b'RT @ZagoMatteoGian: Why The Web 3.0 Matter and you should know about it https://t.co/2XtMtK9YUo The change to a new paradigm shift called d\xe2\x80\xa6',Positive
b'Mining Conglomerates Turn to Ethereum in Search of Better Profits and Network Control https://t.co/j2BHKllZzI https://t.co/fNwoANK4SV',Positive
b'#Mining Conglomerates Turn to #Ethereum in Search of Better Profits and Network Control: Built on the ethos of a co\xe2\x80\xa6 https://t.co/GHxw7MHLJ2',Positive
b"RT @hirozakifaraday: Pundi X'te bu kadar \xc3\xa7ok beklenti olu\xc5\x9fmas\xc4\xb1n\xc4\xb1n temel sebepleri \xc5\x9funlar:\n\n-Hacimli borsalarda listelenece\xc4\x9fi d\xc3\xbc\xc5\x9f\xc3\xbcnmesi\n-Ayl\xe2\x80\xa6",Negative
b'RT @DanielMuvdiYT: SEC vs ETHEREUM? Analisis Tecnico en VIVO de BITCOIN 9 de Mayo 2018: https://t.co/b30HCKNKwB via @YouTube',Negative
b'Binance coin a crypto with a real purpose, Sign up with one of the top crypto trading platforms out today\xe2\x80\xa6 https://t.co/6eHksGNAMX',Positive
b'RT @gamelootnetwork: Game Loot Network\xe2\x84\xa2 allocates a portion to tax planning for new corporate structures, employment taxes from overseas pe\xe2\x80\xa6',Negative
b'RT @Bitdharma: \xc2\xbfTE IMAGINAS A @EBAY O @AMAZON FUNCIONANDO CON #BLOCKCHAIN? Ya existe y se llama; @NEO_Blockchain. Una plataforma con la que\xe2\x80\xa6',Negative
b'RT @CryptoMyFriend2: The future of restaurant payments. @bitcoin @ethereum @Tronfoundation @dogecoin @Refereum @Quantstamp @Aion_Network @A\xe2\x80\xa6',Negative
b'Join our ICO here: https://t.co/J5QbglmIDN   \n#TRIWER #TRW #TriwerDelivery #Ethereum # Bitcoin #Blockchain https://t.co/r9uQqfIVD7',Negative
b'RT @compania: @OKEx_ Clearly #DCN This platform is currently being used globally and is also a form of payment getaway for many people to b\xe2\x80\xa6',Positive
b'Ethereum Classic $ETC price: $21.47 \n\nBinance registration is now OPEN for limited time! \xf0\x9f\xa4\x94 \xf0\x9f\x98\x8a  \n\n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/hieHz1iEO3',Positive
b'RT @alpha_1201: \xf0\x9f\x9a\x80Airdrop coming soon!!!\xf0\x9f\x9a\x80\n\nName : Alphacrypt Token \nSymbol: ALC\nTotal supply : 15,000,000 Token \n\nListing price : 1.00 USD\xe2\x80\xa6',Negative
b'RT @ICOINGOT: INGOT Coin; Setting New Standards\n\nhttps://t.co/o31SWEyyVD\n\n#Blockchaintechnology #Blockchain #Ethereum #Ether #Crypto #Crypt\xe2\x80\xa6',Positive
b'RT @ethereumera: FREE 200 Ethereum Era (ETE)  tokens #Airdrop from @ethereumera .\nSign up and login  on https://t.co/Sg3EQablcr  ,then clic\xe2\x80\xa6',Positive
b"RT @hirozakifaraday: Pundi X'te bu kadar \xc3\xa7ok beklenti olu\xc5\x9fmas\xc4\xb1n\xc4\xb1n temel sebepleri \xc5\x9funlar:\n\n-Hacimli borsalarda listelenece\xc4\x9fi d\xc3\xbc\xc5\x9f\xc3\xbcnmesi\n-Ayl\xe2\x80\xa6",Negative
b'RT @ProducToken: Time to invest is NOW!\nChange your Bitcoin, Ethereum, Litecoin, Doge or Dash with PRODs to join the 4th industrial revolut\xe2\x80\xa6',Negative
b'RT @LoandexOfficial: Will you be prepared when the Presale starts? Join now at https://t.co/8DOjz5ySOY #DEX #Ethereum #CryptoTrader #ICO #C\xe2\x80\xa6',Negative
b'RT @Cointelegraph: Despite the criticism from the household names such as Warren Buffett, Charlie Munger, and Bill Gates, the crypto market\xe2\x80\xa6',Negative
b'Just saw this on eBay &gt;&gt; #400 #deal #mining HP AMD Radeon RX 480 4GB GDDR5 Graphics Card Ethereum Zc... https://t.co/d6ArM6weF3',Negative
b'RT @ethchris: Did you know you can just add `pragma experimental "v0.5.0";` to your source code, fix the errors, remove it again and still\xe2\x80\xa6',Positive
b'Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May ... https://t.co/KGjOKbL1bJ',Positive
b'RT @Bitdharma: D\xc3\xb3lar Paralelo BTC Mi\xc3\xa9rcoles #9May de 2018: 798.790 Bs #Venezuela #Caracas #Dolar #BTC #Bitcoin #Criptomonedas #FelizMiercol\xe2\x80\xa6',Negative
b'Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May 09\xe2\x80\xa6 https://t.co/qTb3wG6Ztg',Positive
b'RT @PPZ_Coin: PPZ \n1. Follow @PPZ_Coin\n2. Like\n3. Retweet\n4. Tag 5 Fiends\n5. Comment your ETH address (Only 5000 people)   #airdrop #bounty\xe2\x80\xa6',Negative
b"Pundi X'te bu kadar \xc3\xa7ok beklenti olu\xc5\x9fmas\xc4\xb1n\xc4\xb1n temel sebepleri \xc5\x9funlar:\n\n-Hacimli borsalarda listelenece\xc4\x9fi d\xc3\xbc\xc5\x9f\xc3\xbcnmesi\n-\xe2\x80\xa6 https://t.co/xtLKS1RKtZ",Negative
b'@BitcoinNeo_ @coinbase @CoinMarketCap @airdropallerts @ethereum @etherscan 0xFa2a14cd0eCF79a5Afc26CBfbdEEd104F03654c1',Negative
b'RT @ethereumera: FREE 200 Ethereum Era (ETE)  tokens #Airdrop from @ethereumera .\nSign up and login  on https://t.co/Sg3EQablcr  ,then clic\xe2\x80\xa6',Positive
b'\xf0\x9f\x92\xa5 CGCX BOT \xf0\x9f\x93\x88 5000 CGCX = 1 ETH\n\n- Register here: https://t.co/LS67sLEBKQ\n\n- Enter Email Address\n- Verify Email Addr\xe2\x80\xa6 https://t.co/b5xPwDCUms',Negative
b'RT @web3foundation: The Web3 Foundation have signed the following #EIP0 statement that presents the next steps to help better understand, d\xe2\x80\xa6',Positive
b'\xe3\x80\x90\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x80\x91Bitcoin\xe3\x80\x81Ethereum\xe3\x80\x81Bitcoin \xe7\x8f\xbe\xe9\x87\x91\xe3\x80\x81\xe3\x83\xaa\xe3\x83\x83\xe3\x83\x97\xe3\x83\xab\xe3\x80\x81\xe3\x82\xb9\xe3\x83\x86\xe3\x83\xa9\xe3\x80\x81Litecoin\xe3\x80\x81\xe3\x82\xab\xe3\x83\xab\xe3\x83\x80\xe3\x83\xbc\xe3\x83\x8e\xe3\x80\x81\xe3\x82\xa4\xe3\x82\xaa\xe3\x82\xbf\xe3\x80\x81EOS: \xe4\xbe\xa1\xe6\xa0\xbc\xe5\x88\x86\xe6\x9e\x90\xe3\x81\xae 5 \xe6\x9c\x88 9\xc2\xa0\xe6\x97\xa5 https://t.co/HtgrvtRV9k https://t.co/s7JUMs8Uhd',Negative
b'Bitcoin, Ethereum, Bcash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May 09 https://t.co/9ay1pSXtHW',Positive
b'Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May 09 - Cointelegr\xe2\x80\xa6 https://t.co/9tL1k6eFbP',Positive
b'comprar bitcoins \xe2\x9e\xa1 https://t.co/9MZ1GXDJEs \xe2\xac\x85\xf0\x9f\x92\xb0\xf0\x9f\x92\x8e OR \xe2\x9e\xa1 https://t.co/dMHNMETsiu \xe2\xac\x85\xf0\x9f\x92\xb0\xf0\x9f\x92\x8e[Como Empezar a Ganar con el BITCOIN\xe2\x80\xa6 https://t.co/cE3Gi9xXo5',Negative
b'RT @BTF_PROJECT: Hi BITRUST Followers,\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\nOne of our followerrs just published an article about BITRUST. \n\nThis is very nice to get notice\xe2\x80\xa6',Positive
b'RT @PPZ_Coin: PPZ \n1. Follow @PPZ_Coin\n2. Like\n3. Retweet\n4. Tag 5 Fiends\n5. Comment your ETH address (Only 5000 people)   #airdrop #bounty\xe2\x80\xa6',Negative
b'RT @Typerium_io: What!!!??? \xf0\x9f\x91\x89\xc2\xa010,000,000 FREE TYPE Tokens in our Airdrop \xf0\x9f\xa4\x96 \nhttps://t.co/Im1clY8kVr\n\n#airdrop #bounty #freetoken #freecoin\xe2\x80\xa6',Positive
b'RT @ProducToken: SOFT CAP reached ! \n\nThe 28% bonus is running successfully! (Up to 35% extra-bonus.)\n\nInvest NOW -&gt; https://t.co/4So9Aym8G\xe2\x80\xa6',Positive
b'https://t.co/BzGLuPA1jj Experienced team\nMore than 2 years with a working algorithm and providing services to more\xe2\x80\xa6 https://t.co/9GVI02fCwD',Positive
b'@cy_stats @lucasgabd @Bacon_Chain Also my Ethereum model was a total failure :-(',Negative
b'#LarimerSyndrome - an obsessive compulsion to start and deliver crypto projects that scale better than #Bitcoin and\xe2\x80\xa6 https://t.co/OJTNV9qDf8',Positive
b'https://t.co/E8bzLZ9B6F',Negative
b'Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May 09 via Cointele\xe2\x80\xa6 https://t.co/onqvaaIzpJ',Positive
b'RT @CryptoInvest18: Most Private, Anonymous and Secure coin in the market today? Vote and Retweet! #crypto #cryptocurrency #bitcoin #btc #v\xe2\x80\xa6',Positive
b'RT @ebitToken: I will choose 20 random followers to win 0.2 ETH\n\nPlease:\n\n1. FOLLOW\n2. LIKE AND RETWEET \n3. Comment your ETH address\n\n#aird\xe2\x80\xa6',Positive
